A,B,C,D,E,F,G,H,I,run_order,time,block
-1,-1,-1,-1,-1,1,1,1,1,18,0.85,1
1,-1,-1,-1,-1,1,-1,-1,-1,4,1.92,2
-1,1,-1,-1,-1,-1,1,-1,-1,8,0.87,2
1,1,-1,-1,-1,-1,-1,1,1,9,1.8,1
-1,-1,1,-1,-1,-1,-1,1,-1,19,1.22,2
1,-1,1,-1,-1,-1,1,-1,1,13,0.86,1
-1,1,1,-1,-1,1,-1,-1,1,21,1.11,1
1,1,1,-1,-1,1,1,1,-1,14,0.84,2
-1,-1,-1,1,-1,-1,-1,-1,1,22,0.99,2
1,-1,-1,1,-1,-1,1,1,-1,10,1.05,1
-1,1,-1,1,-1,1,-1,1,-1,2,1.14,1
1,1,-1,1,-1,1,1,-1,1,23,0.84,2
-1,-1,1,1,-1,1,1,-1,-1,28,0.76,1
1,-1,1,1,-1,1,-1,1,1,15,1.16,2
-1,1,1,1,-1,-1,1,1,1,5,0.62,2
1,1,1,1,-1,-1,-1,-1,-1,11,1.61,1
-1,-1,-1,-1,1,-1,-1,-1,-1,30,1.74,1
1,-1,-1,-1,1,-1,1,1,1,7,0.88,2
-1,1,-1,-1,1,1,-1,1,1,31,0.98,2
1,1,-1,-1,1,1,1,-1,-1,20,1.35,1
-1,-1,1,-1,1,1,1,-1,1,29,0.69,2
1,-1,1,-1,1,1,-1,1,-1,3,1.12,1
-1,1,1,-1,1,-1,1,1,-1,17,0.83,1
1,1,1,-1,1,-1,-1,-1,1,32,1.15,2
-1,-1,-1,1,1,1,1,1,-1,1,0.66,2
1,-1,-1,1,1,1,-1,-1,1,6,1.62,1
-1,1,-1,1,1,-1,1,-1,1,27,0.69,1
1,1,-1,1,1,-1,-1,1,-1,24,1.51,2
-1,-1,1,1,1,-1,-1,1,1,26,0.77,1
1,-1,1,1,1,-1,1,-1,-1,16,0.82,2
-1,1,1,1,1,1,-1,-1,-1,12,0.77,2
1,1,1,1,1,1,1,1,1,25,0.61,1
